Season,Episode,Title,Year of Release,IMDB Rating,Arco
8,251,Uragiri no Shinsou! Robin no Kanashiki Ketsui!,2005,8.9,Water 7 Arc
8,252,Nakama o Hikihanasu Kiteki! Hashiridasu Umi Ressha,2005,8.0,Water 7 Arc
8,253,Sanji Totsunyuu! Arashi no Naka no Umiressha Battle!,2005,7.9,Water 7 Arc
8,254,Nami Tamashii no Sakebi! Mugiwara no Luffy Fukkatsu!,2006,8.1,Water 7 Arc
8,255,Mou Hitotsu no Umi Ressha! Rocketman Shutsugeki,2006,8.1,Water 7 Arc
8,256,Nakama o Sukue! Tekidoushi ga Musunda Chikai no Kizuna!,2006,8.0,Water 7 Arc
8,257,Nami o Kudake! Luffy to Zoro no Saikyou Combo,2006,8.2,Water 7 Arc
8,258,Nazo no Otoko Toujou!? Sono Na wa Sogeking!,2006,8.3,Water 7 Arc
8,259,Kokku Taiketsu! Sanji vs Ramen Kenpou,2006,7.6,Water 7 Arc
8,260,Yane no Ue no Kettou! Franky VS Nero,2006,7.9,Water 7 Arc
8,261,Gekitotsu! Onigiri Zoro VS Funekiri T-Bone,2006,8.1,Water 7 Arc
8,262,Robin Soudatsusen! Sogeking no Kisaku!!,2006,8.7,Water 7 Arc
8,263,Shihou no shima! Enies Lobby!,2006,8.1,Water 7 Arc
9,264,Jouriku Sakusen Shidou! Mugiwara Ichimi Totsunyuu Seyo!,2006,8.2,Enies Lobby Arc
9,265,Luffy Kaishingeki! Shihou no Shima de Daikessen!!,2006,8.1,Enies Lobby Arc
9,266,Kyojinzoku to no Koubou! Daini no Tobira o Akero!,2006,8.0,Enies Lobby Arc
9,267,Katsuro o Hirake! Sora o Tobu Rocketman!,2006,8.1,Enies Lobby Arc
9,268,Luffy ni Oitsuke! Mugiwara Ichimi Souryokusen,2006,8.2,Enies Lobby Arc
9,269,Uragirareta Robin! Sekai Seifu no Omowaku!,2006,8.2,Enies Lobby Arc
9,270,Robin o Kaese! Luffy VS Blueno!,2006,8.9,Enies Lobby Arc
9,271,Tachidomaru na! Hangeki no Noroshi o Agero!,2006,8.2,Enies Lobby Arc
9,272,Luffy Mokuzen! Saibansho Mae hiroba e Shuuketsu Seyo,2006,8.3,Enies Lobby Arc
9,273,Subete wa Nakama o Mamoru Tame ni! Gear Second Hatsudou,2006,9.2,Enies Lobby Arc
9,274,Kotaero Robin! Mugiwara Ichimi no Sakebi!!,2006,9.3,Enies Lobby Arc
9,275,Robin no Kako! Akuma to Yobareta Shoujo!,2006,9.0,Enies Lobby Arc
9,276,Shukumei no Oyako! Sono Haha no Na wa Orubia!,2006,9.0,Enies Lobby Arc
9,277,Ikitai to Ie! Oretachi wa Nakama Da!!,2006,9.6,Enies Lobby Arc
